CITY_ID,CITYNAME_AR,CITYNAME_EN,REGION_ID
1001001,صبياء,Sibya',10
1001069,الظبيه,Alzabiuh,10
1016172,فيفا,Fayfa,10
1009001,الدائر,Alddayir,10
1010103,المضايا,Al Madaya,10
1010107,مزهره,Mazhara,10
601074,عريجه,Arijah ,6
601222,وادى بن هشبل,Wadi Ibn Hashbal,6
601001,خميس مشيط,Khamis Mushait,6
1205001,قلوه,Qilwah,12
1205055,شعثه,Sha'thah ,12
901020,طلعه التمياط,Talaeah Altamyat,9
900001,عرعر,Earear,9
202583,قياء,Qiaa,2
804001,الشملى,Alshumlaa,8
803003,الكهفه,Alkahfuh,8
806005,سميراء,Samira',8
510001,قريه العليا,Qaryat al-Ulya,5
510009,اللهابه,Al Lahabah,5
807019,الحليفه السفلى,Alhalifuh Alsuflaa,8
302004,مغيراء,Mogayra,3
302001,العلا,Al-Ula,3
412001,ضريه,Darih,4
407006,تلعه رشيد,Taleah Rashid,4
700038,القليبه,Alqalibuh,7
702014,اشواق,Ashwaq,7
701021,بداء,Bida',7
800076,الروضه,Alruwduh,8
600492,الربوعه,Al Rabua',6
610002,البشائر,Al Bashayer,6
603001,النماص,Al-Namas,6
606001,تثليث,Tathlith,6
602001,بيشه,Bisha,6
616002,الحرجه,Al-Harjah,6
605090,الفرشه,Al Farsha,6
605001,سراة عبيدة,Sarat Ubaida,6
411001,عقله الصقور,Eaqalah Alsuqur,4
803021,فيد,Fyd,8
400012,الفواره,Alfawaruh,4
404005,الفويلق,Alfwylq,4
803001,الشنان,Alshannan,8
802001,الغزاله,Alghizaluh,8
808001,السليمي,Alsalimi,8
1201064,بني كبير,Bani Kabir,12
1201001,بلجرشى,Baljurashi,12
400011,البطين,Albatin,4
1208041,غامد الزناد,Ghamid Alzinad,12
1207001,بني حسن,Al-Tho'ban,12
1100001,نجران,Najran,11
1106009,المنخلي,Al-Mankhali,11
1101001,شروره,Sharurah,11
1101005,تماني,Tamani,11
1104001,يدمه,Yadamah,11
1102001,حبونا,Hubuna,11
1104039,سلطانه,Sultana,11
1103004,بدر الجنوب,Badr Al Janoub,11
1105001,ثار,Thar,11
1106001,خباش,Khbash,11
1101004,الوديعه,Al Wadiah,11
1100035,المشعليه,Al Mishaliah,11
1100036,الحصينية,Al Husayniyah,11
610001,العلاية,Al-Ulya,6
610247,بلقرن,Balqarn,6
610248,باشوت,Bashout,6
600773,الحوطه,Al Hawata,6
612001,طريب,Tarib,6
203106,الصفه,Alsafuh,2
203144,كياد,Kiad,2
203150,كدوه الاعوج (الكدوة),Kuduh Alaewuj (Alkaduat),2
203554,حلي,Haly,2
609003,ظهران الجنوب,Dhahran Al Janub,6
216001,أضم,Adham,2
204558,غميقه,Ghamiqa,2
214002,ميسان,Maysan,2
214810,بني سعد,Bani Saad,2
202582,المحاني,Al Mehani,2
600852,صبح بلحمر,Sabah Billahmar,6
608008,الواديين,Al-Wadyin Station ,6
608026,قريه الملك فيصل الخيريه,King Faysal Charity Town,6
608002,احد رفيده,Ahad Rafidah,6
1008001,فرسان,Farsan,10
401001,عنيزه,Eanizah,4
504001,القطيف,Qatif,5
504002,التوبى,At Tawbi,5
504003,الخويلديه,Al Khuwaildiyah,5
504004,الجاروديه,Al Jarudiyah,5
504005,حله محيش,Halat Mahish,5
504006,ام الحمام,Umm Al Hamam,5
504007,الجش,Al Jish,5
504009,العواميه,Al Awamiyah,5
504010,القديح,Al Qudaih,5
504011,دارين,Darin ,5
504013,عنك,Anak,5
504014,تاروت,Tarout,5
504015,سيهات,Saihat,5
504016,صفوى,Safwa,5
504022,الاوجام,Al Awjam,5
504023,النابيه,An Nabiyah,5
504024,ام الساهك,Umm As Sahik,5
405002,البدائع,Albadayie,4
600001,ابها,Abha,6
600299,المسقى,Al Masqa ,6
600357,مندرمربة,Mandermariyah ,6
501046,يبرين,Yabrin,5
511007,سلوى,Salwah,5
511021,البطحاء,Al Bathaa,5
1011001,العيدابي,Al-Aydabi,10
1015234,هروب,Harub,10
701051,ابو راكه,'Abu Rakh,7
509008,مليجه,Mulayjah,5
509004,الصرار,As Sarrar,5
501042,عريعره,Euryeruh,5
611001,المجارده,Almjardh,6
509013,القليب,Al Qalib,5
508033,عين دار الجديده,New Ain Dar,5
1206001,الاطاوله,Al-Atawilah ,12
614484,بارق,Bariq,6
203173,المظيلف,Almuzaylaf,2
1203001,المخواه,Al-Makhwah,12
602005,النقيع,Al Negea',6
602023,الحازمى,Al Hazemi,6
613002,البرك,Albarik,6
602159,تباله,Tabalah,6
612034,الصبيخه,Al Subaykha,6
602081,صمخ,Samkh,6
603250,بني عمرو,Bani Amr,6
607804,الحريضه,Al Haridhah,6
600615,العيرج,Al-Airaj ,6
1004001,الخوبة,Alkhawbuh,10
1003115,ديحمه,Dihimuh,10
1003117,السهي,Alsahiu,10
801001,بقعاء,Biqaea',8
801009,تربة,Turba,8
104021,تمير,Tameer,1
