DISTRICT_ID,DISTRICTNAME_AR,DISTRICTNAME_EN,REGION_ID,CITY_ID
200001066,جرهم,Jarham,2,200001
200001067,وادي جليل,Wadi Jalil,2,200001
200001068,المعابده,Al Maeabiduh,2,200001
200001069,العدل,Al Adel,2,200001
300001039,الدار,Ad Dar,3,300001
300001040,الحديقة,Al Hadiqah,3,300001
300001034,وعيرة,Wairah,3,300001
200001076,معاد,Muead,2,200001
200001077,الخضراء,Al Khadraa,2,200001
508001049,دميغ الجنوبية,South Demig,5,508001
508001050,دميغ الشمالية,North Damig,5,508001
200001026,العزيزية,Al Aziziyah,2,200001
200001027,الرصيفة,Ar Rusayfah,2,200001
200001028,المسفلة,Al Misfalah,2,200001
200001029,العوالي,Al Awaly,2,200001
200001030,الصفوة,As safwa,2,200001
200001078,جرول,Jarwal,2,200001
200001079,شعب علي ,Shaeb Ali Al Jadid,2,200001
200001080,الهجلة الجديد,Al Hajla Al Jadid,2,200001
200001081,الزهراء,Az Zahra,2,200001
200001082,النسيم,Al Naseem,2,200001
200001083,الشوقية,Ash Shawqiyah,2,200001
200001084,الخنساء,Al Khansa,2,200001
300001051,الجمعة,Al Jummah,3,300001
508001052,السلام,As Salam,5,508001
508001053,أحد,Ohod,5,508001
508001054,الربيع,Ar Rabie,5,508001
508001055,الزهور,Al Zuhur,5,508001
508001056,النور,An Noor,5,508001
508001057,غرناطة,Ghirnatah,5,508001
508001059,الرابية,Ar Rabiyah,5,508001
508001060,الريان,Ar Rayaan,5,508001
508001061,الواحة,Al Wahah,5,508001
508001062,طيبة,Taibah,5,508001
509008001,الصناعية,Industrial,5,509008
300001017,القبيبة,Al Qabiba,3,300001
300001018,الملك فهد,King Fahd,3,300001
300001020,جبل أحد,Jabal Uhud,3,300001
300001023,الظاهرة,Az Zahirah,3,300001
300001071,رهط,Raht,3,300001
510008008,النزهة,An Nuzhah,5,510008
510008010,البلدة القديمة,Down Town,5,510008
510008011,المجد,Al Majd,5,510008
300001052,المزيين,Al Muzayayn,3,300001
300001053,سكة الحديد,As Sikkah Al Hadid,3,300001
300001054,الدفاع,Ad Difa,3,300001
200001044,الأندلس,Al Andalus,2,200001
200001045,أحد,Ohod,2,200001
300001081,الروابي,Ar Rawabi,3,300001
300001083,وادي مهزور,Wadi Mahzur,3,300001
300001019,النقمى,Al Nuqame,3,300001
403001029,حي ه,Dst H,4,403001
300001073,الدويخلة,Ad Duwaikhilah,3,300001
300001074,عروة,Urwah,3,300001
300001075,جماء أم خالد,Jama Umm Khaled,3,300001
510008012,غرناطة,Ghirnatah,5,510008
510008013,الأندلس,Al Andalus,5,510008
510008014,المروج,Al Muruj,5,510008
8,النسيم,Al Naseem,5,510026
510008015,الكوثر,Al Kawthar,5,510008
510008016,الواحة,Al Wahah,5,510008
510001002,المروج,Al Muruj,5,510001
510001003,الربوة,Ar Rabwah,5,510001
200001046,المغمس,Al Mughamas,2,200001
200001047,الشميسي,Al Shumaisi,2,200001
200001048,حارة الباب الجديد,Harat Al Bab Al Jadid,2,200001
200001049,الشامية الجديد,Ash Shamiya Al Jadid,2,200001
200001050,القشاشية الجديد,Al Qashashia Al Jadid,2,200001
200001071,السليمانية,As Sulaymaniyah,2,200001
200001072,البحيرات,Al Buhayrat,2,200001
200001073,السنابل,As Sanabel,2,200001
200001074,المشاعر المقدسة,Al Mashaeir Al Muqadasa,2,200001
200001075,الراشدية,Ar Rashidiyyah,2,200001
703002014,الورود1,Al Wurud1,7,703002
